Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.039605460,0,1,0,0,0,1
0.039605540,0,1,1,0,0,1
0.039605690,0,1,0,0,0,1
0.039605800,0,1,1,0,0,1
0.039605870,0,1,0,0,0,1
0.039605960,0,1,1,0,0,1
0.039606040,0,1,0,0,0,1
0.039606120,0,1,1,0,0,1
0.039606210,0,1,0,0,0,1
0.039606290,0,1,1,0,0,1
0.039606380,0,1,0,0,0,1
0.039606460,0,1,1,0,0,1
0.039606550,0,1,0,0,0,1
0.039606690,0,1,1,0,0,1
0.039606860,0,1,0,0,0,1
0.039607030,0,1,1,0,0,1
0.039607150,0,1,0,0,0,1
0.039607230,0,1,1,0,0,1
0.039607380,0,1,0,0,0,1
0.039607480,0,1,1,0,0,1
0.039607570,0,1,0,0,0,1
0.039607640,0,1,1,0,0,1
0.039607740,0,1,0,0,0,1
0.039607890,0,1,1,0,0,1
0.039608060,0,1,0,0,0,1
0.039608170,0,1,1,0,0,1
0.039608230,0,1,0,0,0,1
0.039608400,0,1,1,0,0,1
0.039608570,0,1,0,0,0,1
0.039608900,0,1,1,0,0,1
0.039609110,0,1,0,0,0,1
0.039609420,0,1,0,1,0,1
0.039619260,0,1,0,1,1,1
0.039619740,0,1,0,1,0,1
0.039619950,0,1,0,1,1,1
0.039620030,0,1,0,1,0,1
0.039620080,0,1,0,1,1,1
0.039620220,0,1,0,1,0,1
0.039620370,0,1,1,1,0,1
0.039620400,0,1,1,1,1,1
0.039620560,0,1,1,1,0,1
0.039620660,0,1,1,1,1,1
0.039620740,0,1,1,1,0,1
0.039620820,0,1,1,1,1,1
0.039620910,0,1,1,1,0,1
0.039620980,0,1,1,1,1,1
0.039621070,0,1,1,1,0,1
0.039621150,0,1,1,1,1,1
0.039621240,0,1,1,1,0,1
0.039621320,0,1,0,1,0,1
0.039621380,0,1,0,1,1,1
0.039621550,0,1,0,1,0,1
0.039621640,0,1,0,1,1,1
0.039621730,0,1,0,1,0,1
0.039621870,0,1,0,1,1,1
0.039621940,0,1,0,1,1,0
0.039622030,0,1,0,1,0,0
0.039622190,0,1,0,1,1,0
0.039622360,0,1,0,1,0,0
0.039622460,0,1,0,1,1,0
0.039622540,0,1,0,1,0,0
